Pelicula,Recomendaciones
Joy Ride,"['Stay', 'Runaway Jury', 'Little Manhattan', 'The Girl Next Door', 'Copycat']"
Serendipity,"['Flirting with Disaster', 'Restoration', 'Jane Eyre', 'Unhook the Stars', 'The Wings of the Dove']"
Grateful Dawg,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
La Cienaga,"['The Great Match', 'Bombón: The Dog', 'Cantábrico: Los dominios del oso pardo', 'Bleak Street', 'Detective Chinatown']"
The Big Red One,"['Carny', 'Sybil', ""'Master Harold'... and the Boys"", 'Escape to Victory', 'Dying Room Only']"
The Party,"['The Party 2', 'Out of It', 'You Are So Beautiful', 'The Brats', 'The Return of the Tall Blond Man with One Black Shoe']"
Brubaker,"['Brubaker', 'Sleeping with the Enemy', 'Grand Canyon', 'The Verdict', 'Norma Rae']"
Carny,"['Sybil', ""'Master Harold'... and the Boys"", 'The Big Red One', 'Escape to Victory', 'Dying Room Only']"
The Changeling,"['The Silent Partner', ""Jacob's Ladder"", 'Total Recall', 'Q & A', 'Music Box']"
Cheech & Chong's Next Movie,"['Smokey and the Bandit', 'Swashbuckler', 'Johnny English Reborn', 'Cloak & Dagger', 'Major Payne']"
Coal Miner's Daughter,"['Zoot Suit', 'FM', 'CB4', 'Jesus Christ Superstar', 'Streets of Fire']"
The Competition,"['Chapter Two', 'Fat City', 'California Suite', 'Wrong Is Right', 'Richard Pryor: Live on the Sunset Strip']"
Cruising,"['The Postman Always Rings Twice', 'Carny', 'Sybil', ""'Master Harold'... and the Boys"", 'An Officer and a Gentleman']"
The Last Metro,"['The Woman Next Door', 'Hothead', 'Fedora', 'Fort Saganne', 'I as in Icarus']"
Divine Madness,"['Star 80', 'Once Upon a Time in America', 'Police Academy', 'The Right Stuff', 'Lovesick']"
The Learning Curve,"['Freeze Frame', 'The Clockmaker of St. Paul', 'Street Thief', 'A Dirty Carnival', 'Red Bear']"
Bandits,"['Liberty Heights', 'Recount', 'Analyze This', '...All the Marbles', 'Cool Breeze']"
Iron Monkey,"['The Killer', 'The Blade', 'Once Upon a Time in China III', ""The Wooden Man's Bride"", ""Don't Give a Damn""]"
Fat Girl,"['The Last Mistress', 'Sombre', 'Sex Is Comedy', 'Clement', 'Read My Lips']"
Mulholland Drive,"['The Straight Story', 'Ponette', 'My Favorite Season', 'All or Nothing', 'Alice and Martin']"
My First Mister,"['Amor.com', 'The Myth of the American Sleepover', 'Sexo, Amor e Traição', 'Evel Knievel', 'Shake It']"
Spriggan,"['Outrage Beyond', 'Black Magic M-66', 'Ghost in the Shell 2: Innocence', 'Jin-Roh: The Wolf Brigade', 'Zatoichi']"
Dirty Harry,"['The Dead Pool', 'Midnight in the Garden of Good and Evil', 'The Gauntlet', 'Any Which Way You Can', 'A Perfect World']"
Destiny in Space,"['The Dream Is Alive', 'Space Station 3D', 'Hubble 3D', 'Michael Jordan to the Max', 'Born to Be Wild']"
Fiddler on the Roof,"['The Private Life of Sherlock Holmes', 'Avanti!', 'Until September', 'Annie Hall', 'The Organization']"
Not Without My Daughter,"['Of Mice and Men', 'Fame', 'CrissCross', 'One Is a Lonely Number', 'Lolly-Madonna XXX']"
Female Trouble,"['Pink Flamingos', 'Multiple Maniacs', 'Short Time', 'Helsinki Napoli - All Night Long', 'Silver Bears']"
Titanica,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
From Hell,"['The Good Son', ""The Adventure of Sherlock Holmes' Smarter Brother"", 'Beyond the Valley of the Dolls', 'Rapid Fire', 'Kung Pow: Enter the Fist']"
The Last Castle,"['Hollywood Ending', 'Small Time Crooks', 'Amistad', 'People Like Us', 'The Madagascar Penguins in a Christmas Caper']"
Riding in Cars with Boys,"['Shampoo', 'Riding in Cars with Boys', 'The Owl and the Pussycat', 'Little Women', 'The Age of Innocence']"
Bangkok Dangerous,"['Magnum Force', 'The Enforcer', 'Sudden Impact', 'Bang Rajan', 'The Way of the Gun']"
Burnt Money,"['Chronicle of an Escape', 'Lugares comunes', 'On Probation', 'The Last Summer of La Boyita', 'The Distinguished Citizen']"
Focus,"['Reservoir Dogs', 'Roger & Me', 'Secretary', 'Where to Invade Next', 'Michael Moore in TrumpLand']"
Intimacy,"[""Playing 'In the Company of Men'"", 'House of Tolerance', 'Priceless', 'Grande école', 'Les amants du bagne']"
Waking Life,"['A Scanner Darkly', 'Boyhood', 'Tape', ""Boys Don't Cry"", 'Sorry, Haters']"
K-PAX,"['Clay Pigeons', 'The Aviator', 'Hellboy II: The Golden Army', 'Predator 2', ""Brewster's Millions""]"
Donnie Darko,"['Brokedown Palace', 'Edward Scissorhands', 'Miracle on 34th Street', 'Grand Canyon', 'The Verdict']"
High Heels and Low Lifes,"['The Crew', 'An Innocent Man', ""Knockin' on Heaven's Door"", 'Big Trouble', ""Romy and Michele's High School Reunion""]"
Life as a House,"['Life as a House', 'I Am Sam', 'Martian Child', 'House Party', 'The Upside of Anger']"
The Man Who Wasn't There,"['Above the Rim', 'Blow', 'Boiler Room', 'Menace II Society', 'Set It Off']"
Ouch,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Town Is Quiet,"['Under The Domim Tree', 'Kaspar Hauser', 'Voyage to the Beginning of the World', 'The Dreamlife of Angels', 'Nô']"
"Monsters, Inc.","['Toy Story 3', 'Toy Story of Terror!', 'Inside Out', 'Day & Night', ""Mike's New Car""]"
Tape,"['Sorry, Haters', 'Puccini for Beginners', 'Boyhood', 'Chance', 'Red Sun']"
Heist,"['Sunset Strip', 'The Edge', 'Point of No Return', 'Spartan', 'The Pledge']"
Maze,"['Cold Comfort Farm', 'Next Stop Wonderland', 'The Broken Hearts Club: A Romantic Comedy', 'The Brothers', 'Shirley Valentine']"
When a Stranger Calls,"[""The Man With Bogart's Face"", 'My Bodyguard', ""Porky's"", 'The Stunt Man', 'The End of the Affair']"
Harry Potter and the Philosopher's Stone,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Deathly Hallows: Part 1', 'Harry Potter and the Deathly Hallows: Part 2']"
Novocaine,"['C(r)ook', 'Dirty Deeds', 'Godspeed', 'Four Stories of St. Julian', 'The Outside Man']"
Spy Game,"['Last Man Standing', 'Dawn of the Dead', 'The Bourne Identity', 'Girl, Interrupted', 'A Midnight Clear']"
The Devil's Backbone,"['Loco Fever', 'Women on the Verge of a Nervous Breakdown', 'Bad Education', 'Volver', 'Tie Me Up! Tie Me Down!']"
In the Bedroom,"[""I'm Not Rappaport"", 'The Crossing Guard', 'Sling Blade', 'Fresh', 'Smoke']"
The Way We Laughed,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Bucktown,"['Ju-on: The Grudge 2', 'Azumi 2: Death or Love', 'Snake-Crane Secret', 'Invisible Target', 'Aakrosh']"
Across 110th Street,"['Hickey & Boggs', 'The Way of the Gun', 'Dead or Alive', 'Running Out of Time', 'Illegal Tender']"
Katie Tippel,"['Dexter the Dragon & Bumble the Bear', 'The Fourth Man', 'Rudderless', 'Falling in Love Again', 'Beloved']"
The Beastmaster,"['...tick... tick... tick...', 'Brass Target', 'Taffin', 'Cool Breeze', 'Sitting Target']"
Midway,"['Gray Lady Down', 'The Organization', 'Avanti!', 'Mr. Majestyk', 'MacArthur']"
MacArthur,"['Mary, Queen of Scots', 'Jesus Christ Superstar', 'Missing', 'Sea of Love', 'The War']"
Subway,"['Mea Culpa', 'Cop or Hood', 'Loulou', 'You Are So Beautiful', 'The Brats']"
The Cheap Detective,"['Murder by Death', 'Richard Pryor: Live on the Sunset Strip', 'Fat City', 'Wrong Is Right', 'California Suite']"
Everybody's Famous!,"['Bread and Chocolate', ""Everybody's Famous!"", 'Dying of Laughter', 'What Will You Do When You Catch Me?', 'Welcome Back, Mr. McDonald']"
The Last Wave,"[""The Devil's Playground"", 'Gallipoli', 'Angel Baby', 'Long Weekend', 'The Navigator: A Medieval Odyssey']"
That Obscure Object of Desire,"['The National Shotgun', 'Diva', 'Walker', 'The Discreet Charm of the Bourgeoisie', 'And Hope to Die']"
Don't Go in the House,"['Dark Prince: The True Story of Dracula', 'I Drink Your Blood', 'Possessed', 'Luther the Geek', 'The Death King']"
Dressed to Kill,"['Blow Out', 'Four Friends', 'Two-Minute Warning', 'Catch-22', 'See No Evil']"
The Earthling,"['Two-Minute Warning', 'Catch-22', 'Fuzz', '10 Rillington Place', 'See No Evil']"
The Exterminator,"['Carnal Knowledge', 'The Adventurers', 'Soldier Blue', 'Phantasm', 'Roadgames']"
The Falls,"['My Ain Folk', 'Winstanley', 'My Childhood', 'Caravaggio', ""The Draughtsman's Contract""]"
Fame,"['Fame', 'CrissCross', 'One Is a Lonely Number', 'Lolly-Madonna XXX', 'Diner']"
The Aviator's Wife,"['Hands in the Air', ""Claire's Knee"", 'Love in the Afternoon', 'The Son of Joseph', 'A Good Marriage']"
The Final Countdown,"['Hooked on the Game', 'Portal: No Escape', 'Something Wicked This Way Comes', 'Prospect', ""Heaven's Soldiers""]"
Flash Gordon,"['Dune', ""The Brink's Job"", 'The Bounty', 'Ragtime', 'King of the Gypsies']"
The Enforcer,"['The Enforcer', 'Sudden Impact', 'Freebie and the Bean', 'The Yakuza', 'The Fugitive']"
The Gauntlet,"['The Dead Pool', 'A Perfect World', 'Blood Work', 'Dirty Harry', 'Trouble with the Curve']"
Lord of the Flies,"['When Harry Met Sally...', 'Misery', 'The Spitfire Grill', 'Best in Show', 'The Whales of August']"
The Stunt Man,"[""The Man With Bogart's Face"", 'Rapid Fire', 'Beyond the Valley of the Dolls', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'French Connection II']"
Sudden Impact,"['The Enforcer', 'Sudden Impact', 'Freebie and the Bean', 'The Yakuza', 'The Fugitive']"
Behind Enemy Lines,"['Courage Under Fire', 'License to Drive', 'Hot Shots!', 'Rapid Fire', 'Kung Pow: Enter the Fist']"
The Affair of the Necklace,"['My Dog Skip', 'Dolphin Tale', 'The Book of Eli', 'Prisoners', 'The Sisterhood of the Traveling Pants']"
Porn Star: The Legend of Ron Jeremy,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Ocean's Eleven,"[""Ocean's Twelve"", ""Ocean's Thirteen"", 'Training Day', 'Mystic River', 'Vegas Vacation']"
Baran,"['Temptress Moon', 'The Last September', 'The Sea Is Watching', 'The Makioka Sisters', 'Vibrator']"
Piñero,"[""I'm Not Rappaport"", 'Joe the King', 'In the Bedroom', 'Oldboy', 'Peppermint Candy']"
Moscow on the Hudson,"['The Principal', 'Body Double', 'Ödipussi', 'Modern Romance', 'Confessions from a Holiday Camp']"
The Owl and the Pussycat,"[""Can't Hardly Wait"", 'Shampoo', 'Riding in Cars with Boys', 'Little Women', 'The Age of Innocence']"
Amélie,"['Tous les soleils', 'Far Away', 'Delicatessen', 'Ruby & Quentin', 'Arizona Dream']"
Vanilla Sky,"['Elizabethtown', 'Mission: Impossible', 'War of the Worlds', 'Narc', 'Without Limits']"
Iris,"['The Snapper', 'The Quiet American', 'Restoration', 'Jane Eyre', 'Unhook the Stars']"
Kandahar,"['At Five in the Afternoon', 'Le Poulpe', 'The Silence', 'Lascars', 'Stray Dogs']"
Lantana,"['Love Serenade', 'The Piano', 'Strange Planet', 'Somersault', 'The Man Who Sued God']"
The Royal Tenenbaums,"['The Royal Tenenbaums', 'Indian Summer', ""Romy and Michele's High School Reunion"", 'Ruthless People', 'The Program']"
Clockwise,"['A Passage to India', 'All of Me', 'Highlander', 'The Go-Between', 'The Railway Children']"
White Water Summer,"['Pecker', 'Rocket Gibraltar', 'The Horsemen', 'The End of the Affair', 'Ali']"
How High,"['Reality Bites', 'Out of Sight', 'Fierce Creatures', 'Erin Brockovich', 'Matilda']"
Kate & Leopold,"['Flirting with Disaster', 'Scream 2', 'Ditto', 'No Budget Story', 'The Portal']"
The Lord of the Rings: The Fellowship of the Ring,"['The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'The Unbearable Lightness of Being', 'The Hobbit: An Unexpected Journey', 'Money Talks']"
The Majestic,"['Miss Congeniality', 'Hearts in Atlantis', 'The Green Mile', 'Chaos Theory', 'Mystic River']"
A Beautiful Mind,"['Fear', 'Apollo 13', 'Closet Land', 'The Paper', 'Liar Liar']"
Little Otik,"['Urusei Yatsura 2: Beautiful Dreamer', 'The Clowns', 'The Portal', 'Set the Thames on Fire', 'King Size']"
Fritz the Cat,"['Heavy Traffic', 'Stripes', 'Anomalisa', 'The Green Butchers', 'Subramaniapuram']"
Ali,"['Ali', 'Hard Times', 'Stir Crazy', 'Ice Castles', ""Lovin' Molly""]"
Black Hawk Down,"['Enemy of the State', 'Pearl Harbor', 'The East', 'Cyrus', 'Gone in Sixty Seconds']"
Charlotte Gray,"['Where Is Fred?', '00 Schneider - Jagd auf Nihil Baxter', ""Mr. Morgan's Last Love"", 'Run & Jump', 'UMMAH - Unter Freunden']"
Yentl,"['Up the Sandbox', 'Romance & Cigarettes', 'Bound for Glory', 'Roadie', 'Until September']"
Gosford Park,"['Thoughtcrimes', 'Session 9', 'Ellis', 'The Confessional', 'Diamond Men']"
I Am Sam,"['Life as a House', 'I Am Sam', 'Martian Child', 'House Party', 'The Upside of Anger']"
Monster's Ball,"['Diary of a Mad Black Woman', ""Madea's Family Reunion"", 'Meet the Browns', '3 Women', 'For Colored Girls']"
The Shipping News,"['Jane Eyre', 'Unhook the Stars', 'The Wings of the Dove', 'The Shipping News', 'Flirting with Disaster']"
Motorama,"['Comedy Central Roast of Bob Saget', 'Comedy Central Roast of Justin Bieber', 'The Green Butchers', 'Silent Nights', 'Ferpect Crime']"
Murder by Death,"['Richard Pryor: Live on the Sunset Strip', 'Fat City', 'The Cheap Detective', 'Wrong Is Right', 'Robin and Marian']"
The Waterdance,"['Tremors', 'Facing the Truth', 'Valentin', 'The Pearl Color', 'Gods']"
Come Undone,"['The Skin of Sorrow', 'Not My Type', 'Kirikou and the Sorceress', 'The Son', 'A Summer in La Goulette']"
Orange County,"['Varsity Blues', 'Tupac: Resurrection', 'Hustle & Flow', 'The Wood', 'Beavis and Butt-Head Do America']"
Brotherhood of the Wolf,"['The Adopted', 'The Prey', 'Taxi', 'The Summit', 'It Boy']"
What Time Is It There?,"['The Wayward Cloud', 'Goodbye, Dragon Inn', 'Pola X', 'Same Old Song', 'Devdas']"
The Russia House,"['Thelma & Louise', 'Moonstruck', 'Taffin', '...All the Marbles', '...tick... tick... tick...']"
Truly Madly Deeply,"['Doctor Who: The Husbands of River Song', 'The Stone Tape', 'The Heart of Me', 'Nuts in May', 'Wonderland']"
Wuthering Heights,"['Boxcar Bertha', 'Jennifer', 'Dillinger', ""J.D.'s Revenge"", 'Chrome and Hot Leather']"
California Suite,"['Chapter Two', 'Lost in Yonkers', 'Brighton Beach Memoirs', 'The Competition', 'Seems Like Old Times']"
The Flight of Dragons,"[""Rudolph and Frosty's Christmas in July"", 'Here Comes Peter Cottontail', 'The Year Without a Santa Claus', 'The Hobbit', ""Frosty's Winter Wonderland""]"
Dragonslayer,"['Vincent', 'Freaky Friday', 'Hocus Pocus', 'The Kid', 'The Odd Life of Timothy Green']"
Fire and Ice,"['Flight of the Navigator', 'The NeverEnding Story', 'Short Circuit', 'Urusei Yatsura 2: Beautiful Dreamer', 'Remote Control']"
Forbidden Zone,"['Symbol', 'Wu yen', 'Willy/Milly', 'A Journey into Bliss', 'Gormenghast']"
The Formula,"['Get Carter', 'Zig Zag', 'The Outfit', 'Undercover Blues', 'Pretty Maids All in a Row']"
Impostor,"['Lost in America', 'The Great Raid', 'City on Fire', 'Planet Terror', 'Backstage']"
Kung Pow: Enter the Fist,"['Little Murders', 'Kidco', 'Bulworth', ""White Men Can't Jump"", 'Breaking Away']"
48 Hrs.,"['Death Wish', 'Juice', 'Hustle', 'Mikey and Nicky', 'Nick of Time']"
Italian for Beginners,"['Open Hearts', 'How to Get Rid of the Others', 'The Boss of It All', 'Clash of Egos', 'The Inheritance']"
Time of Favor,"['Blush', 'Fill the Void', 'Broken Wings', 'The Fits', '6ixtynin9']"
Brainstorm,"['Brainstorm', 'Soylent Green', 'Endangered Species', ""Logan's Run"", 'Taffin']"
Dragon: The Bruce Lee Story,"['Play It As It Lays', 'Conan the Barbarian', 'The War', 'On Golden Pond', 'The River']"
The Enigma of Kaspar Hauser,"['Stroszek', 'Woyzeck', 'Nosferatu the Vampyre', 'Gesualdo: Death for Five Voices', 'Little Dieter Needs to Fly']"
Heart of Glass,"['Fata Morgana', 'Land of Silence and Darkness', 'Even Dwarfs Started Small', 'No One Will Play with Me', 'Wings of Hope']"
Little Dieter Needs to Fly,"['Stroszek', 'Woyzeck', 'The Enigma of Kaspar Hauser', 'Gesualdo: Death for Five Voices', 'Nosferatu the Vampyre']"
M*A*S*H,"['Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Hot Shots!', 'Patton', 'Bulworth', ""White Men Can't Jump""]"
Mrs. Soffel,"[""Ryan's Daughter"", 'Zabriskie Point', 'Untamed Heart', 'Ginger and Fred', 'Of Mice and Men']"
The Count of Monte Cristo,"['Reign of Fire', 'Instinct', '27 Dresses', 'Twenty', 'Stick It']"
The Mothman Prophecies,"['Elegy', 'The Gift', 'The Ugly Truth', 'Brimstone & Treacle', 'They Look Like People']"
A Walk to Remember,"[""You're Not You"", 'Duma', 'Blue Collar Comedy Tour: The Movie', 'Welcome to Collinwood', 'White Oleander']"
Beijing Bicycle,"['Nitro Circus: The Movie', 'Dolphin Tale', 'The Hole', 'Scent of a Woman', 'Heavy']"
Maelström,"['The Barbarian Invasions', ""Margaret's Museum"", 'Margarita', 'Love & Human Remains', 'Seducing Doctor Lewis']"
Metropolis,"['Ghost in the Shell Arise - Border 2: Ghost Whispers', 'Ghost in the Shell Arise - Border 4: Ghost Stands Alone', 'Ghost in the Shell Arise - Border 3: Ghost Tears', 'Ghost in the Shell Arise - Border 5: Pyrophoric Cult', 'Ghost in the Shell Arise - Border 1: Ghost Pain']"
The Son's Room,"['Aprile', 'Musikanten', 'The Caiman', 'The Best of Youth', 'Good Morning, Night']"
Storytelling,"['Happiness', 'Hedwig and the Angry Inch', 'House Party', 'The Upside of Anger', '$5 a Day']"
Waydowntown,"['Dead Set', 'Chocolate Strawberry Vanilla', 'The Sleepover', 'Eating Raoul', 'Tokyo Zombie']"
The Adventures of Huck Finn,"['Iron Will', 'Homeward Bound II: Lost in San Francisco', 'Tarzan', ""Squanto: A Warrior's Tale"", ""Wild Hearts Can't Be Broken""]"
Falling in Love,"['Children of a Lesser God', 'Days of Heaven', 'Love Story', 'Falling in Love', 'The Great Gatsby']"
Birthday Girl,"['Searching for Bobby Fischer', 'Major League', 'Presumed Innocent', 'Breaking and Entering', 'Absence of Malice']"
A Rumor of Angels,"['Shadows of the Dead', 'Fast Getaway', 'Momentum', 'Relentless', 'Two English Girls']"
The Five Heartbeats,"['The Rose', 'Grand Canyon', 'The Verdict', 'Norma Rae', 'Taps']"
Get Out Your Handkerchiefs,"['Going Places', 'A Good Woman', 'Chhoti Si Baat', 'Worth Winning', 'Devdas']"
Going Places,"['Get Out Your Handkerchiefs', 'Play It As It Lays', 'Fried Green Tomatoes', 'Melvin and Howard', 'Where the Buffalo Roam']"
The Magnificent One,"['Stavisky', 'The Outsider', 'Impromptu', 'Pauline at the Beach', 'Full Moon in Paris']"
Richard Pryor: Here and Now,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Sandlot,"['Max Dugan Returns', 'Because of Winn-Dixie', 'Little Murders', 'Kidco', 'Bulworth']"
Don't Look Now,"['Hidalgo', 'Seven Days', 'Apartment Zero', 'Tattoo', 'Films to Keep You Awake: The Christmas Tale']"
John Q,"['Boiler Room', 'Above the Rim', 'Blow', 'Blink', 'Rush Hour']"
Return to Never Land,"[""Lady and the Tramp II: Scamp's Adventure"", ""The Lion King 2: Simba's Pride"", 'The Lion King 1½', 'The Ballad of Nessie', 'Frozen Fever']"
Super Troopers,"[""The Slammin' Salmon"", 'The Impostors', 'Slums of Beverly Hills', 'The Brothers McMullen', 'Enough Said']"
